group_id,matching_year,group_name,edrpou,client_code,client_name,mandatory_no,segment,inclusion_flag,consolidation_method,ownership_share_pct,match_key,is_main_company,note
GROUP_UNMAPPED_44638778,2025,UNMAPPED_44638778,44638778,1294808,"ТОВ ""ТРЕЙД ГРАНІТ ІНВЕСТ""",35,інші,1,SUM,100,2025|44638778,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_43607439,2025,UNMAPPED_43607439,43607439,804100,"ТОВ ""АГРО-ЗЕРНО""",36,інші,1,SUM,100,2025|43607439,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_32751876,2025,UNMAPPED_32751876,32751876,72178,"ТОВ ""ПТК ШАБО""",37,інші,1,SUM,100,2025|32751876,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_45088504,2025,UNMAPPED_45088504,45088504,1266104,"ТОВ ""АГРОВИРОБНИЦТВО""",38,інші,1,SUM,100,2025|45088504,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_31980957,2025,UNMAPPED_31980957,31980957,931835,"ТОВ ""ПЗП""",39,інші,1,SUM,100,2025|31980957,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_42071643,2025,UNMAPPED_42071643,42071643,882715,"ТОВ ""ФІДНОВА""",40,інші,1,SUM,100,2025|42071643,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_14325705,2025,UNMAPPED_14325705,14325705,196731,"ТДВ ""ІНТЕРХІМ""",41,інші,1,SUM,100,2025|14325705,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_43162182,2025,UNMAPPED_43162182,43162182,724150,"ТОВ ""ВЕНТА РІТЕЙЛ""",42,інші,1,SUM,100,2025|43162182,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_45713735,2025,UNMAPPED_45713735,45713735,1965127,"ТОВ ""ДДС ІНТЕРНЕШНЛ""",43,інші,1,SUM,100,2025|45713735,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_35495114,2025,UNMAPPED_35495114,35495114,815721,"ТЗОВ ""ТОРГОВИЙ ДІМ """"АВАНТА""""""",44,інші,1,SUM,100,2025|35495114,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_13429839,2025,UNMAPPED_13429839,13429839,21650,"ТОВ ""СПЕЦТЕХОСНАСТКА""",45,інші,1,SUM,100,2025|13429839,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_22480087,2025,UNMAPPED_22480087,22480087,262238,"С П ""ВІТМАРК-УКРАЇНА"" ТОВ",46,інші,1,SUM,100,2025|22480087,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_31893770,2025,UNMAPPED_31893770,31893770,86761,"ТОВ ""ГРАНО СОЛЮШН""",47,інші,1,SUM,100,2025|31893770,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_14291113,2025,UNMAPPED_14291113,14291113,270019,"ТОВ СП ""НІБУЛОН""",48,інші,1,SUM,100,2025|14291113,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_39215751,2025,UNMAPPED_39215751,39215751,321925,"ТОВ ""БЛУМІ""",49,інші,1,SUM,100,2025|39215751,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_BKZ,2025,BKZ,00376403,374023,"ТОВ""Буський консервний завод""",50,інші,1,SUM,100,2025|00376403,1,mandatory_2025; group_directory_match=1
GROUP_UNMAPPED_35863179,2025,UNMAPPED_35863179,35863179,641196,"ТОВ  ""АЙСБЕРГ-ФІШ""",51,інші,1,SUM,100,2025|35863179,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_30652567,2025,UNMAPPED_30652567,30652567,733579,"ТОВ ""АВТОМОБІЛЬНИЙ ДІМ""",52,інші,1,SUM,100,2025|30652567,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_41041279,2025,UNMAPPED_41041279,41041279,455422,"ТОВ ""РИСОІЛ УКРАЇНА""",53,інші,1,SUM,100,2025|41041279,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_37197929,2025,UNMAPPED_37197929,37197929,268196,"ТОВ ""ТАТАРБУНАРИ СОЛАР 2""",54,інші,1,SUM,100,2025|37197929,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_37893933,2025,UNMAPPED_37893933,37893933,269526,"ТОВ ""АЗІМУТ ЗАПАД""",55,інші,1,SUM,100,2025|37893933,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_43487506,2025,UNMAPPED_43487506,43487506,1046322,"ТОВ ""МДП""",56,інші,1,SUM,100,2025|43487506,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_37412312,2025,UNMAPPED_37412312,37412312,342613,"ТОВ ""ГРОСДОРФ""",57,інші,1,SUM,100,2025|37412312,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_22722461,2025,UNMAPPED_22722461,22722461,311772,ПрАТ «КОМПЛЕКС БЕЗЛЮДІВ.М'ЯСОКОМБІНАТ»,58,інші,1,SUM,100,2025|22722461,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_40581739,2025,UNMAPPED_40581739,40581739,1596136,"ТОВ ""ДОЙЧ-ФАРМ""",59,інші,1,SUM,100,2025|40581739,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_CKM,2025,CKM,00178353,97903,"ПРАТ ""ДТЕК ПАВЛОГРАДВУГІЛЛЯ""",60,інші,1,SUM,100,2025|00178353,1,mandatory_2025; group_directory_match=1
GROUP_UNMAPPED_44797285,2025,UNMAPPED_44797285,44797285,1128823,"ТОВ ""ФІШ-АЛЬЯНС ЛТД""",61,інші,1,SUM,100,2025|44797285,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_39615460,2025,UNMAPPED_39615460,39615460,428964,"ТОВ "" ВТГ-ТРЕЙДІНГ""",62,інші,1,SUM,100,2025|39615460,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_37351098,2025,UNMAPPED_37351098,37351098,393737,"ПП ""АЛЬФА ЛЮКС""",63,інші,1,SUM,100,2025|37351098,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_32998661,2025,UNMAPPED_32998661,32998661,284818,"ТОВ ""МАЛБІ ФУДС""",64,інші,1,SUM,100,2025|32998661,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_40861875,2025,UNMAPPED_40861875,40861875,1466248,"ТОВ ""АРАТА-ЗАХІД""",65,інші,1,SUM,100,2025|40861875,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_20205260,2025,UNMAPPED_20205260,20205260,218339,"Компанія ""Золотий Лев""",66,інші,1,SUM,100,2025|20205260,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_35672132,2025,UNMAPPED_35672132,35672132,406600,"ТОВ ""КОМБІНАТ ХЛІБОПЕЧЕННЯ """"КУЛИНИЧІ""""""",67,інші,1,SUM,100,2025|35672132,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_43090747,2025,UNMAPPED_43090747,43090747,695004,"ТОВ ""ФЕРТІ ГРЕЙН""",68,інші,1,SUM,100,2025|43090747,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_35720615,2025,UNMAPPED_35720615,35720615,924627,"ТОВ ""АГРО КАПІТАЛ ЦЕНТР""",69,інші,1,SUM,100,2025|35720615,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_32399340,2025,UNMAPPED_32399340,32399340,457777,"ТОВ ""АГРОХІМРЕСУРС""",70,інші,1,SUM,100,2025|32399340,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_31228240,2025,UNMAPPED_31228240,31228240,289096,"ТЗОВ ""АГРО-ІНВЕСТ""",71,інші,1,SUM,100,2025|31228240,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_35251665,2025,UNMAPPED_35251665,35251665,2029035,"ТОВ ""НОВО-КОМЕРЦБУД""",72,інші,1,SUM,100,2025|35251665,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_38092323,2025,UNMAPPED_38092323,38092323,487402,"ТОВ ""ТОРГОВИЙ ДІМ """"ЖИТОМИРСЬКІ ЛАСОЩІ""""""",73,інші,1,SUM,100,2025|38092323,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_33929610,2025,UNMAPPED_33929610,33929610,357681,"ТОВ ""АКРОПОЛІС - ПЛАЗА""",74,інші,1,SUM,100,2025|33929610,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_44676394,2025,UNMAPPED_44676394,44676394,2111847,"ТОВ ""ТД КРАМАР ЛТД""",75,інші,1,SUM,100,2025|44676394,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_39387655,2025,UNMAPPED_39387655,39387655,729643,"ТОВ ""Б.МК""",76,інші,1,SUM,100,2025|39387655,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_45477018,2025,UNMAPPED_45477018,45477018,2142629,"ТОВ ""Тарус трейд""",77,інші,1,SUM,100,2025|45477018,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_32333962,2025,UNMAPPED_32333962,32333962,123227,"ПрАТ ""ІСРЗ""",78,інші,1,SUM,100,2025|32333962,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_41162327,2025,UNMAPPED_41162327,41162327,470622,"ТОВ ""ЩЕДРО""",79,інші,1,SUM,100,2025|41162327,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_41201418,2025,UNMAPPED_41201418,41201418,473592,"ТОВ ""ПЕТРОЛ ТРЕЙДІНГ""",80,інші,1,SUM,100,2025|41201418,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_36866563,2025,UNMAPPED_36866563,36866563,119926,"ТОВ""СОКАР ЕНЕРДЖІ УКРАЇНА""",81,інші,1,SUM,100,2025|36866563,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_40489427,2025,UNMAPPED_40489427,40489427,2146723,"ТОВ ""КРАНИ УКРАЇНИ""",82,інші,1,SUM,100,2025|40489427,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_38897719,2025,UNMAPPED_38897719,38897719,578439,"ТОВ ""ДМИТРУК-ФУДЗ""",83,інші,1,SUM,100,2025|38897719,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_41747399,2025,UNMAPPED_41747399,41747399,639758,"ТОВ ""ФРІ-СІСТЕМ""",84,інші,1,SUM,100,2025|41747399,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_44307498,2025,UNMAPPED_44307498,44307498,1055765,"ТОВ ""СЕРІОС СНЕК""",85,інші,1,SUM,100,2025|44307498,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_39237508,2025,UNMAPPED_39237508,39237508,950546,"ТОВ ""ЛЮКС КРАЇНА""",86,інші,1,SUM,100,2025|39237508,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_45348336,2025,UNMAPPED_45348336,45348336,2066474,"ТОВ ""ТАЙМ ОФ ТІМ""",87,інші,1,SUM,100,2025|45348336,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_KROK,2025,KROK,01553770,246476,"АТ ""Полтавахолод""",88,інші,1,SUM,100,2025|01553770,1,mandatory_2025; group_directory_match=1
GROUP_UNMAPPED_38013278,2025,UNMAPPED_38013278,38013278,63435,"ТОВ ""ШЕН-СЕРВІС""",89,інші,1,SUM,100,2025|38013278,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_41810266,2025,UNMAPPED_41810266,41810266,530458,"ТОВ ""ОДЕСЬКИЙ ПОРТОВИЙ ОПЕРАТОР""",90,інші,1,SUM,100,2025|41810266,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_33658865,2025,UNMAPPED_33658865,33658865,960489,"ТОВ ""РДС""",91,інші,1,SUM,100,2025|33658865,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_38737616,2025,UNMAPPED_38737616,38737616,863951,"ТОВ ""ДІАТОМ""",92,інші,1,SUM,100,2025|38737616,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_41126163,2025,UNMAPPED_41126163,41126163,460373,"ТОВ ""ЛЕРНА ОЙЛ""",93,інші,1,SUM,100,2025|41126163,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_40720198,2025,UNMAPPED_40720198,40720198,423515,"ТОВ ""СІЛЬПО-ФУД""",94,інші,1,SUM,100,2025|40720198,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_37971230,2025,UNMAPPED_37971230,37971230,232177,"ПП ""ДЖИВАЛЬДІС""",95,інші,1,SUM,100,2025|37971230,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
GROUP_UNMAPPED_31559190,2025,UNMAPPED_31559190,31559190,260880,"ТОВ ""ТД ІРБІС""",96,інші,1,SUM,100,2025|31559190,1,mandatory_2025; group_directory_match=0; уточнити групу в довіднику
